wl.nm,irrad.W_m2_nm,flux.photon_m2_nm_s,irrad.mW_cm2_nm,flux.mA_cm2_nm
620,1.4739,4.60027E+18,0.14739,0.07233083
621,1.4802,4.62738E+18,0.14802,0.07275716
622,1.4269,4.46794E+18,0.14269,0.070250216
623,1.4165,4.44251E+18,0.14165,0.069850314
624,1.4118,4.43487E+18,0.14118,0.069730296
625,1.4026,4.41303E+18,0.14026,0.069386917
626,1.4012,4.41568E+18,0.14012,0.069428567
627,1.4417,4.55057E+18,0.14417,0.07154943
628,1.3631,4.30934E+18,0.13631,0.067756521
629,1.4114,4.46914E+18,0.14114,0.070269117
630,1.3924,4.41599E+18,0.13924,0.069433379
631,1.4161,4.49828E+18,0.14161,0.07072729
632,1.3638,4.33901E+18,0.13638,0.068223108
633,1.4508,4.62311E+18,0.14508,0.072690055
634,1.4284,4.55892E+18,0.14284,0.071680799
635,1.4458,4.62174E+18,0.14458,0.072668414
636,1.4128,4.52336E+18,0.14128,0.071121604
637,1.461,4.68504E+18,0.1461,0.073663676
638,1.4707,4.72355E+18,0.14707,0.07426916
639,1.4646,4.71133E+18,0.14646,0.074077041
640,1.434,4.62011E+18,0.1434,0.072642848
641,1.4348,4.62991E+18,0.14348,0.072796942
642,1.4376,4.64618E+18,0.14376,0.073052794
643,1.4525,4.70165E+18,0.14525,0.073924918
644,1.4462,4.68854E+18,0.14462,0.07371875
645,1.4567,4.72991E+18,0.14567,0.074369279
646,1.415,4.60164E+18,0.1415,0.072352359
647,1.4086,4.58791E+18,0.14086,0.072136606
648,1.3952,4.55129E+18,0.13952,0.071560804
649,1.3519,4.41685E+18,0.13519,0.069446922
650,1.3594,4.4482E+18,0.13594,0.069939796
651,1.4447,4.73459E+18,0.14447,0.074442749
652,1.3871,4.5528E+18,0.13871,0.071584518
653,1.4311,4.70442E+18,0.14311,0.073968515
654,1.4153,4.65961E+18,0.14153,0.073263893
655,1.3499,4.45109E+18,0.13499,0.069985269
656,1.1851,3.91365E+18,0.11851,0.061535053
657,1.2393,4.09888E+18,0.12393,0.064447423
658,1.3855,4.5894E+18,0.13855,0.07215994
659,1.3905,4.61296E+18,0.13905,0.072530412
660,1.3992,4.64887E+18,0.13992,0.073094966
661,1.3933,4.63628E+18,0.13933,0.07289703
662,1.3819,4.6053E+18,0.13819,0.072409966
663,1.3844,4.6206E+18,0.13844,0.072650542
664,1.3967,4.66868E+18,0.13967,0.073406573
665,1.4214,4.7584E+18,0.14214,0.074817242
666,1.4203,4.76187E+18,0.14203,0.074871762
667,1.4102,4.73511E+18,0.14102,0.074450957
668,1.415,4.75835E+18,0.1415,0.074816371
669,1.4394,4.84765E+18,0.14394,0.076220423
